iso,region_dev,region_ar6_6,pop,pop_density,forest_pct,gdp,gdppc,summer_vpd,pop_forest,hvi,log_vpd,log_pdforest,log_hvi,damage,damage_gdp_weighted,weights
NPL,ldc,APC,24281659.5,169.56396427029546,0.4070358478075813,13962660532.410553,522.2588512819971,6.312875303354173,591470.2223633188,0.499,1.8425912468467007,13.290366618552316,-0.6951491830302176,357302730.12511367,1.620674941328772,32.79596977329975
NZL,developed,DEV,3274400.0,12.43553226235236,0.3559405263757548,40376354069.94735,12330.9168305483,14.061332913666607,119923.61129464414,0.15097972972972967,2.643428683721727,11.694610246521224,-1.89060969071636,500439598.954398,1.2394373154332963,17.178841309823678
PAK,developing,APC,235824862.0,305.91643576172686,0.047796803652968,374697366359.2447,1588.8798287911,21.29351663229383,415362.0658123959,0.316563829787234,3.058402642925644,12.936905866592232,-1.1502303835221455,596004531.518791,0.1590629091711752,12.025188916876575
PAN,developing,LAM,3368573.0,45.31306160882432,0.5883306429916599,18141666300.000004,5385.56424337546,5.8422669165679935,111821.03569303195,0.246,1.7651188921837222,11.624654976682548,-1.4024237426432702,504217052.0786341,2.7793315329509394,12.025188916876575
PER,developing,LAM,25365386.0,19.8167078125,0.5909612734375,58147522522.52251,2292.39651714831,7.1600842413938,38165.046249201696,0.344,1.9685217464751004,10.549675356054234,-1.067113621318041,509822964.6158416,0.8767750413069963,12.025188916876575
PHL,developing,APC,74491918.0,249.8303585203072,0.248286883321595,74492416329.91428,1000.00668971786,7.708439861464072,678480.2237548891,0.37,2.0423158145134677,13.42761061082401,-0.9942522730735966,508731383.54110277,0.6829304358822484,12.025188916876575
PRT,developed,DEV,10305275.555555556,112.55773325017324,0.3628267334251532,178759136324.24323,17246.726628560773,15.175484759068825,180412.1380698574,0.15821321321321316,2.7196812810263706,12.102999168548164,-1.8438117042968947,965867215.4519217,0.7005686334146475,17.178841309823678
PRY,developing,LAM,6060085.5,15.25317266549207,0.46536926755600305,27890865782.29161,4501.05088785396,13.156314992665095,40557.46704968204,0.2995,2.5769018709381086,10.610475186849586,-1.2056408610927432,283673247.09078586,0.8107208611657672,12.025188916876575
RUS,developed,EEA,145107503.9,8.859117991026942,0.49609594851770017,1173973507432.9907,8145.875500488281,6.200373808017003,15127.503687647866,0.22179594594594593,1.8246095818653532,9.62426980226759,-1.5059974817534385,871897369.1137342,0.10387098280496587,17.178841309823678
SDN,ldc,AFR,25029144.0,10.534151515151516,0.1234511363636363,9163567726.000494,366.115905761719,38.05095830182464,36172.12843640228,0.624,3.6389262693236546,10.496044168567392,-0.47160491045245295,612982674.0858693,6.689345159163353,32.79596977329975
SRB,developed,DEV,7516346.0,85.94038417562314,0.2986279442030642,6875845986.521212,914.785719885861,16.203658509562715,238400.95563326855,0.31,2.7852370506714923,12.38170922269411,-1.1711829811803645,492614529.9412863,7.1644206532107235,17.178841309823678
SSD,ldc,AFR,10447666.0,16.53294826958682,0.113256215087114,11197576112.391514,1071.77776475545,14.666421625059836,177438.90747751333,0.607,2.685560637735116,12.086381645427691,-0.49922648775789413,493525352.66612035,4.4074302126865925,32.79596977329975
SWE,developed,DEV,10175214.0,24.9814588688378,0.6869449813537893,555455371487.0892,54589.0603860606,7.015587916729345,28339.011226317893,0.058,1.9481345185714591,10.25199462295069,-2.8473122667115796,118877000.0,0.02140171940037907,17.178841309823678
TUN,developing,AFR,12037194.5,77.47936727600413,0.04513388259526255,44425411865.64197,3688.45147390257,36.90620855596042,103347.462763416,0.2645,3.608379790445213,11.545852014865803,-1.329914027305711,510171212.2525137,1.1516791572562584,12.025188916876575
TUR,developed,DEV,69901582.25,90.82491879214687,0.2709849083325754,511518354628.7937,6968.662525543976,19.09698159705931,189557.77316135992,0.2845,2.9495302910019414,12.152449128604632,-1.2570220250642576,497427502.71680033,0.15251368362451562,17.178841309823678
TZA,ldc,AFR,31785846.0,35.883772860690904,0.6184918717543463,7906638979.985401,248.747161865234,12.663205899734043,133473.89386409908,0.627,2.5387006152931653,11.801661186119956,-0.4668087381897267,535872690.9355511,6.777502960386089,32.79596977329975
UKR,developed,DEV,44132049.0,76.16853469105972,0.1672419744563341,165571854565.59668,3751.7373046875,12.919757512747555,148562.8255348141,0.2249999999999999,2.5587577298228754,11.908763215331545,-1.4916548763332729,183184000.0,0.11063716141889665,17.178841309823678
USA,developed,DEV,298643134.9230769,32.62019609812229,0.33463055956998944,14607399842230.768,47402.671355821956,13.894968924977919,72851.85503212913,0.10284459459459451,2.631526826781597,11.196183275020902,-2.2745362194942453,7769625115.274709,0.05038949753652349,17.178841309823678
VNM,developing,APC,80642308.0,259.67576235710834,0.389788826275962,35064105500.83449,434.810292146332,7.564964760209378,684054.6599843139,0.392,2.023527688975587,13.435793105669642,-0.9364934389365724,517288230.8122945,1.4752643006962878,12.025188916876575
ZAF,developing,AFR,49457337.11111111,40.76971791961941,0.1450851498606405,237794349225.85785,4655.555515851043,17.094845570373273,103594.58547153442,0.3460626477541371,2.83877698944258,11.548240343653443,-1.0611354571521228,555791043.7389221,0.288453307502422,12.025188916876575
