iso,region_dev,region_ar6_6,ssp,year,hdi
AUT,developed,DEV,ssp5,2065,0.878178067
AUT,developed,DEV,ssp1,2070,0.879781398
AUT,developed,DEV,ssp2,2070,0.883098496
AUT,developed,DEV,ssp3,2070,0.864107471
AUT,developed,DEV,ssp4,2070,0.850823831
AUT,developed,DEV,ssp5,2070,0.877592117
AZE,developing,EEA,ssp1,2030,0.763049325
AZE,developing,EEA,ssp2,2030,0.746173295
AZE,developing,EEA,ssp3,2030,0.7289716
AZE,developing,EEA,ssp4,2030,0.714441331
AZE,developing,EEA,ssp5,2030,0.764869749
AZE,developing,EEA,ssp1,2035,0.76741355
AZE,developing,EEA,ssp2,2035,0.74773294
AZE,developing,EEA,ssp3,2035,0.731311648
AZE,developing,EEA,ssp4,2035,0.713852887
AZE,developing,EEA,ssp5,2035,0.770107957
AZE,developing,EEA,ssp1,2040,0.772891584
AZE,developing,EEA,ssp2,2040,0.751713646
AZE,developing,EEA,ssp3,2040,0.734330478
AZE,developing,EEA,ssp4,2040,0.715385847
AZE,developing,EEA,ssp5,2040,0.776635082
AZE,developing,EEA,ssp1,2045,0.778589415
AZE,developing,EEA,ssp2,2045,0.755646931
AZE,developing,EEA,ssp3,2045,0.738806516
AZE,developing,EEA,ssp4,2045,0.718223754
AZE,developing,EEA,ssp5,2045,0.782684099
AZE,developing,EEA,ssp1,2050,0.782321291
AZE,developing,EEA,ssp2,2050,0.759406865
AZE,developing,EEA,ssp3,2050,0.742439741
AZE,developing,EEA,ssp4,2050,0.721360868
AZE,developing,EEA,ssp5,2050,0.782035777
AZE,developing,EEA,ssp1,2055,0.78380765
AZE,developing,EEA,ssp2,2055,0.760974788
AZE,developing,EEA,ssp3,2055,0.744201389
AZE,developing,EEA,ssp4,2055,0.723774829
AZE,developing,EEA,ssp5,2055,0.779631282
AZE,developing,EEA,ssp1,2060,0.782724135
AZE,developing,EEA,ssp2,2060,0.761837242
AZE,developing,EEA,ssp3,2060,0.746343885
AZE,developing,EEA,ssp4,2060,0.724340129
AZE,developing,EEA,ssp5,2060,0.778301019
AZE,developing,EEA,ssp1,2065,0.781808503
AZE,developing,EEA,ssp2,2065,0.762245604
AZE,developing,EEA,ssp3,2065,0.747285346
AZE,developing,EEA,ssp4,2065,0.724604258
AZE,developing,EEA,ssp5,2065,0.777668474
AZE,developing,EEA,ssp1,2070,0.780905042
AZE,developing,EEA,ssp2,2070,0.762638056
AZE,developing,EEA,ssp3,2070,0.747987809
AZE,developing,EEA,ssp4,2070,0.724922705
AZE,developing,EEA,ssp5,2070,0.777204959
BDI,ldc,AFR,ssp1,2030,0.445317577
BDI,ldc,AFR,ssp2,2030,0.374259911
BDI,ldc,AFR,ssp3,2030,0.299312712
BDI,ldc,AFR,ssp4,2030,0.292582726
BDI,ldc,AFR,ssp5,2030,0.45460256
BDI,ldc,AFR,ssp1,2035,0.475704149
BDI,ldc,AFR,ssp2,2035,0.393335881
BDI,ldc,AFR,ssp3,2035,0.303133103
BDI,ldc,AFR,ssp4,2035,0.298777034
BDI,ldc,AFR,ssp5,2035,0.489520038
BDI,ldc,AFR,ssp1,2040,0.503891674
BDI,ldc,AFR,ssp2,2040,0.410872918
BDI,ldc,AFR,ssp3,2040,0.304739769
BDI,ldc,AFR,ssp4,2040,0.303306618
BDI,ldc,AFR,ssp5,2040,0.522032092
BDI,ldc,AFR,ssp1,2045,0.531837904
BDI,ldc,AFR,ssp2,2045,0.428177854
BDI,ldc,AFR,ssp3,2045,0.305710168
BDI,ldc,AFR,ssp4,2045,0.307564089
BDI,ldc,AFR,ssp5,2045,0.553441376
BDI,ldc,AFR,ssp1,2050,0.557722796
BDI,ldc,AFR,ssp2,2050,0.446236469
BDI,ldc,AFR,ssp3,2050,0.30707682
BDI,ldc,AFR,ssp4,2050,0.312555905
BDI,ldc,AFR,ssp5,2050,0.578715924
BDI,ldc,AFR,ssp1,2055,0.581915571
BDI,ldc,AFR,ssp2,2055,0.464641435
BDI,ldc,AFR,ssp3,2055,0.309472406
BDI,ldc,AFR,ssp4,2055,0.318675889
